,APCP_surface,DLWRF_surface,DSWRF_surface,PRES_surface,SPFH_2maboveground,TMP_2maboveground,UGRD_10maboveground,VGRD_10maboveground,precip_rate
2016-12-31 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01 00:00:00,0.0,282.20605,76.35216,101068.586,0.0043669315,285.1424,-0.24508075,-2.179855,0.0
2017-01-01 01:00:00,0.0,283.09824,0.0,100944.2,0.0050321855,283.48138,0.951023,-1.5121589,0.0
2017-01-01 02:00:00,0.0,280.57373,0.0,101004.55,0.0049382416,281.75882,2.148773,-0.84233534,0.0
2017-01-01 03:00:00,0.0,260.35294,0.0,101220.91,0.004783127,280.87683,3.3378694,-0.1740613,0.0
2017-01-01 04:00:00,0.0,257.56094,0.0,101170.42,0.0046744836,280.15207,3.3401155,-0.55321467,0.0
2017-01-01 05:00:00,0.0,255.00552,0.0,101124.27,0.004536845,279.5142,3.345353,-0.92508364,0.0
2017-01-01 06:00:00,0.0,251.30324,0.0,101276.77,0.004551825,279.0192,3.3461034,-1.2967547,0.0
2017-01-01 07:00:00,0.0,248.91663,0.0,101095.086,0.0045682956,278.3449,3.4316287,-0.7102658,0.0
2017-01-01 08:00:00,0.0,249.87097,0.0,101114.03,0.0047304854,278.41278,3.5095952,-0.123985894,0.0
2017-01-01 09:00:00,0.0,246.65941,0.0,101222.88,0.0046020197,278.3509,3.591267,0.46427703,0.0
2017-01-01 10:00:00,0.0,250.8836,0.0,101112.94,0.0048256773,279.27972,3.6321793,0.6192819,0.0
2017-01-01 11:00:00,0.0,252.85864,0.0,101141.52,0.0050955443,279.54706,3.6669598,0.77502763,0.0
2017-01-01 12:00:00,0.0,250.8898,0.0,101221.05,0.005162956,280.4279,3.7093177,0.92909926,0.0
2017-01-01 13:00:00,0.0,250.24248,0.0,100947.01,0.0050087585,279.89667,3.5327992,0.70603335,0.0
2017-01-01 14:00:00,0.0003963169,251.19867,0.0,100999.36,0.0049860775,279.66595,3.3576913,0.47947657,1.1008803e-07
2017-01-01 15:00:00,0.0,253.5308,0.0,101182.99,0.0051586702,280.05344,3.1809936,0.25236788,0.0
2017-01-01 16:00:00,0.0,247.33034,79.3082,101084.016,0.005182287,280.3124,3.5920653,0.48265988,0.0
2017-01-01 17:00:00,0.0,245.32938,208.34377,101106.06,0.0053722467,281.54062,3.9979029,0.72092706,0.0
2017-01-01 18:00:00,0.0,256.1093,347.17877,101241.39,0.0052159242,282.7187,4.4092226,0.9504827,0.0
2017-01-01 19:00:00,0.0,254.88075,423.09598,101036.13,0.004750636,283.50006,4.9388576,0.43865836,0.0
