divide_id,gw_Coeff,gw_Zmax,gw_Expon,bexp_soil_layers_stag=1,bexp_soil_layers_stag=2,bexp_soil_layers_stag=3,bexp_soil_layers_stag=4,ISLTYP,IVGTYP,dksat_soil_layers_stag=1,dksat_soil_layers_stag=2,dksat_soil_layers_stag=3,dksat_soil_layers_stag=4,psisat_soil_layers_stag=1,psisat_soil_layers_stag=2,psisat_soil_layers_stag=3,psisat_soil_layers_stag=4,cwpvt,mfsno,mp,quartz_soil_layers_stag=1,quartz_soil_layers_stag=2,quartz_soil_layers_stag=3,quartz_soil_layers_stag=4,refkdt,slope,smcmax_soil_layers_stag=1,smcmax_soil_layers_stag=2,smcmax_soil_layers_stag=3,smcmax_soil_layers_stag=4,smcwlt_soil_layers_stag=1,smcwlt_soil_layers_stag=2,smcwlt_soil_layers_stag=3,smcwlt_soil_layers_stag=4,vcmx25
cat-3400562,0.005,148.389556885,1.0,4.010045051574707,4.010045051574707,4.010045051574707,4.010045051574707,9,14,2.9131601947647235e-06,2.9131601947647235e-06,2.9131601947647235e-06,2.9131601947647235e-06,0.16203739277755191,0.16203739277755191,0.16203739277755191,0.16203739277755191,0.26914891600608826,2.0,5.720267858949515,0.4847279890847743,0.4847279890847743,0.4847279890847743,0.4847279890847743,3.5384380817413326,0.11897246539592744,0.4474907847742657,0.4474907847742657,0.4474907847742657,0.4474907847742657,0.07689928945985251,0.07689928945985251,0.07689928945985251,0.07689928945985251,38.2457175994682
cat-3400600,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,7,2.6652841751642637e-07,2.6652841751642637e-07,2.6652841751642637e-07,2.6652841751642637e-07,0.06166308943631964,0.06166308943631964,0.06166308943631964,0.06166308943631964,0.25661658985338887,2.0,6.980741958469043,0.5264081920749271,0.5264081920749271,0.5264081920749271,0.5264081920749271,3.168472596867749,0.14340005242859957,0.439949575764885,0.439949575764885,0.439949575764885,0.439949575764885,0.0634845672501775,0.0634845672501775,0.0634845672501775,0.0634845672501775,33.207006611373316
cat-3400563,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,7,1.4129527586212229e-06,1.4129527586212229e-06,1.4129527586212229e-06,1.4129527586212229e-06,0.14427592497066777,0.14427592497066777,0.14427592497066777,0.14427592497066777,0.26914891600608826,2.0,6.66002870121439,0.536793679420946,0.536793679420946,0.536793679420946,0.536793679420946,3.538438081741333,0.11897246539592742,0.43916202621899414,0.43916202621899414,0.43916202621899414,0.43916202621899414,0.061158218290184946,0.061158218290184946,0.061158218290184946,0.061158218290184946,35.53519812955972
cat-3400581,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,8,5.275594630048492e-07,5.275594630048492e-07,5.275594630048492e-07,5.275594630048492e-07,0.09104947847075945,0.09104947847075945,0.09104947847075945,0.09104947847075945,0.260069705061596,2.0,6.761695732502287,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,3.270411648466205,0.13666935684546913,0.43102937242837513,0.43102937242837513,0.43102937242837513,0.43102937242837513,0.04699999839067459,0.04699999839067459,0.04699999839067459,0.04699999839067459,34.145593228467796
cat-3400586,0.005,148.389556885,1.0,4.010045051574707,4.010045051574707,4.010045051574707,4.010045051574707,9,7,1.7369389564439224e-07,1.7369389564439224e-07,1.7369389564439224e-07,1.7369389564439224e-07,0.032864021329254374,0.032864021329254374,0.032864021329254374,0.032864021329254374,0.245965175922083,2.0,6.870898066281588,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,2.8540333242482747,0.16416142886085486,0.46124708041382156,0.46124708041382156,0.46124708041382156,0.46124708041382156,0.10300000011920929,0.10300000011920929,0.10300000011920929,0.10300000011920929,33.08044705595582
cat-3400564,0.005,148.389556885,1.0,4.010045051574707,4.010045051574707,4.010045051574707,4.010045051574707,9,7,1.8971479562268965e-06,1.8971479562268965e-06,1.8971479562268965e-06,1.8971479562268965e-06,0.1604603894632595,0.1604603894632595,0.1604603894632595,0.1604603894632595,0.26914891600608826,2.0,7.102429702484107,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,3.538438081741333,0.11897246539592742,0.46218419075012207,0.46218419075012207,0.46218419075012207,0.46218419075012207,0.1030000001192093,0.1030000001192093,0.1030000001192093,0.1030000001192093,33.38249172083528
cat-3400548,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,14,3.977142438898254e-07,3.977142438898254e-07,3.977142438898254e-07,3.977142438898254e-07,0.048588382680445984,0.048588382680445984,0.048588382680445984,0.048588382680445984,0.26914891600608826,2.0,5.569903534959224,0.5121396330444626,0.5121396330444626,0.5121396330444626,0.5121396330444626,3.538438081741333,0.11897246539592743,0.44220061668782346,0.44220061668782346,0.44220061668782346,0.44220061668782346,0.06668072419064472,0.06668072419064472,0.06668072419064472,0.06668072419064472,38.77478420268355
cat-3400585,0.005,148.389556885,1.0,4.010045051574707,4.010045051574707,4.010045051574707,4.010045051574707,9,7,1.4420095451184708e-07,1.4420095451184708e-07,1.4420095451184708e-07,1.4420095451184708e-07,0.022955103842811003,0.022955103842811003,0.022955103842811003,0.022955103842811003,0.25953943592913925,2.0,6.867963639668135,0.35120582000366535,0.35120582000366535,0.35120582000366535,0.35120582000366535,3.2547576290676914,0.13770293953602467,0.4616471487637598,0.4616471487637598,0.4616471487637598,0.4616471487637598,0.10272989512710598,0.10272989512710598,0.10272989512710598,0.10272989512710598,33.81328349422184
cat-3400549,0.005,148.389556885,1.0,4.010045051574707,4.010045051574707,4.010045051574707,4.010045051574707,9,7,1.1340893222348948e-06,1.1340893222348948e-06,1.1340893222348948e-06,1.1340893222348948e-06,0.14571436523708983,0.14571436523708983,0.14571436523708983,0.14571436523708983,0.26914891600608826,2.0,6.645513439353811,0.4237253723673043,0.4237253723673043,0.4237253723673043,0.4237253723673043,3.5384380817413335,0.11897246539592742,0.45309759991320037,0.45309759991320037,0.45309759991320037,0.45309759991320037,0.08648551683272142,0.08648551683272142,0.08648551683272142,0.08648551683272142,34.99018115721921
cat-3400631,0.005,148.389556885,1.0,2.3265130519866943,2.3265130519866943,2.3265130519866943,2.3265130519866943,3,14,3.119227903141439e-07,3.119227903141439e-07,3.119227903141439e-07,3.119227903141439e-07,0.07069778170700841,0.07069778170700841,0.07069778170700841,0.07069778170700841,0.26914891600608826,2.0,4.854054376456244,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,3.5384380817413326,0.11897246539592743,0.4313718974590302,0.4313718974590302,0.4313718974590302,0.4313718974590302,0.04699999839067459,0.04699999839067459,0.04699999839067459,0.04699999839067459,41.29354578557206
