land_surface_water__runoff_depth,land_surface_water__runoff_volume_flux,DIRECT_RUNOFF,GIUH_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,SOIL_CONCEPTUAL_STORAGE
0.00011130740070315723,0.6264799863623759,0.0,0.0,0.0,0.00011130740070315723,0.6113490908698277
0.00011130038972980815,0.6264405259629741,1.0027059255702005e-11,1.0027059255702006e-12,0.0,0.00011130038872710223,0.6065787902946719
0.00011564041336257165,0.6508678140775993,0.0,2.0054118511404012e-12,4.34706044298281e-06,0.000111293350914177,0.601887573875938
0.0001239944612418553,0.6978875429403884,0.0,3.0081177767106013e-12,1.2708170528965082e-05,0.00011128628770477245,0.597274260751131
0.00013604678803857812,0.7657225788818183,0.0,2.0054118511404012e-12,2.476758650083403e-05,0.00011127919953233224,0.5927375572423083
0.0001514981622654573,0.8526887343556173,0.0,1.0027059255702006e-12,4.022607443964953e-05,0.00011127208682310185,0.5882761911546059
0.00017006513527102453,0.9571906535616816,0.0,0.0,5.880018527477898e-05,0.00011126494999624557,0.5838889114194876
0.0001914793472161123,1.077717906220265,0.0,0.0,8.022155775214626e-05,0.00011125778946396605,0.5795744877439147
0.00021548685496933207,1.2128412047145147,0.0,0.0,0.00010423624933771342,0.00011125060563161866,0.5753317102653455
0.00024184749289992913,1.3612088063918353,0.0,0.0,0.0001306040940021034,0.00011124339889782573,0.5711593892124612
0.00027033426358192604,1.521543084217257,8.0557622287942e-11,8.0557622287942e-12,0.00015909808587045903,0.0001112361696557048,0.5670567533042253
0.0003007327221607307,1.6926370617567632,0.0,1.61115244575884e-11,0.00018950378775848588,0.00011122891829072032,0.5630218478695591
0.0003328404359994457,1.8733513718631412,0.0,2.41672866863826e-11,0.00022161876665132744,0.00011122164518083157,0.5590539468951405
0.0003664770028290668,2.0626706425996506,1.0590008836890785e-07,1.0606120361348376e-08,0.0002552520459688727,0.00011121435073983275,0.5551665897179661
0.00040152282843364966,2.259921752661684,7.1024638501074e-07,9.221271193708437e-08,0.0002902235802821498,0.0001112070354395628,0.5513670672775399
0.0004378660695320138,2.4644752059256576,1.2868272432575793e-06,3.025020278385783e-07,0.0003263638677642822,0.0001111996997398931,0.5476438689462787
0.00047521538959880257,2.6746912506654588,1.779050502076348e-07,5.094098868492829e-07,0.00036351363577315644,0.00011119234393879686,0.5439506043356738
0.0005132827694318198,2.888948806299525,1.8512522441832094e-09,5.744535940822579e-07,0.0004015233475931109,0.00011118496824462664,0.5403013873970262
0.0005518120312506681,3.105806007764475,0.0,3.821318526637169e-07,0.0004402523264522431,0.00011117757294576136,0.5367107870099938
0.000590903095103598,3.3258252427368684,0.0,1.6481911004053986e-07,0.00047956811761963586,0.00011117015837392165,0.5331798128632278
0.0006305272225262444,3.548844760312005,0.0,1.8160755469600123e-08,0.0005193463369099383,0.00011116272486083657,0.5297074747912558
0.0006706258801170762,3.7745351124535342,0.0,1.8512522441832095e-10,0.0005594704222591279,0.00011115527273272398,0.5262927990714947
0.0007109790787574894,4.001658117520773,0.0,0.0,0.0005998312764471053,0.00011114780231038406,0.5229348281511964
0.0007514672232874285,4.229540648895299,0.0,0.0,0.0006403269093781421,0.00011114031390928645,0.5196326203789288
0.0007919949031904933,4.457645700244778,0.0,0.0,0.0006808620953508319,0.0001111328078396614,0.5163852497405146
0.0008324733291426427,4.6854735318020175,0.0,0.0,0.0007213480447360574,0.00011112528440658527,0.513191805599357
0.0008728198334130203,4.912558858432583,0.0,0.0,0.0007617020895029538,0.00011111774391006648,0.510051392441075
0.000913023097028216,5.138837972689685,6.552822142529431e-07,6.552822142529431e-08,0.0008018473820535489,0.00011111018675324175,0.5070017630063313
0.0009532020733626644,5.364980388980477,2.557966366073693e-06,3.868530794579579e-07,0.0008417126068467227,0.00011110261343648364,0.5040401375420274
0.0009934964530577655,5.591772338863387,4.612557065316716e-06,1.1694336440222931e-06,0.000881231994997665,0.00011109502441607835,0.5011535423324358
0.0010352857900160922,5.826978471450783,2.0320947057913153e-05,3.853052471527355e-06,0.0009203453172071867,0.00011108742033737804,0.49842245613186886
0.0010766547180353504,6.059818384139499,5.523463571168209e-06,6.5774243829345e-06,0.0009589974921637322,0.0001110798014886837,0.4956392816546611
0.0011169375703980163,6.286545453852525,3.4727738041787835e-06,8.726562261696179e-06,0.0009971388403434364,0.00011107216779288382,0.4928798747971145
0.001153307522918772,6.491249249065282,6.4211483694163606e-06,7.5191537872421575e-06,0.0010347238495969184,0.00011106451953461152,0.4901980758478997
0.0011899359124915925,6.697407625373547,1.7062186295577198e-05,7.169067864719584e-06,0.0010717099873643224,0.00011105685726255068,0.48763471696405625
0.0012317386522574534,6.932689194011271,6.045251985271351e-05,1.2630934873164277e-05,0.0011080585355094836,0.0001110491818748053,0.4852740824455086
0.001280154288828436,7.205190637285514,6.53701804020643e-05,2.5377684953723444e-05,0.001143735109788914,0.00011104149408579831,0.48296675246495074
0.0013580037977453771,7.643357003371714,0.00032995284047934183,6.825962818021817e-05,0.001178710374338546,0.00011103379522661293,0.4810816992422852
0.0014463587415188021,8.140651914766169,0.00022975034382613654,0.00012237337919920174,0.0012129592760504804,0.00011102608626911978,0.47912370378967845
0.0015277864343343063,8.598957647918825,6.25038674963722e-05,0.0001703055957243513,0.0012464624723039044,0.00011101836630605057,0.4769136923176076
0.001548060874400353,8.713069835031659,3.891731739256733e-05,0.00015784519452244694,0.0012792050453377076,0.0001110106345401986,0.4746690320920418
