land_surface_water__runoff_depth,land_surface_water__runoff_volume_flux,DIRECT_RUNOFF,GIUH_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,SOIL_CONCEPTUAL_STORAGE
0.00011132431086960224,0.07378025438168855,1.3534203061758485e-08,1.3534203061758485e-08,0.0,0.00011131077666654048,0.5694241807861584
0.00011132035435935997,0.07377763220213174,1.3256629474413468e-08,1.3256629474413468e-08,0.0,0.00011130709772988556,0.5634822328087741
0.00011668855545516151,0.0773354107262155,1.2993852021443337e-08,1.2993852021443337e-08,5.372211044679258e-06,0.00011130335055846081,0.5576230968171583
0.00012703180668755855,0.08419040673830708,1.2744742245814669e-08,1.2744742245814669e-08,1.571952583233501e-05,0.00011129953611297773,0.5518456186638752
0.00014197303425607282,0.09409271434900426,1.2508283541694473e-08,1.2508283541694473e-08,3.0664870631769786e-05,0.00011129565534076135,0.5461486602876168
0.00016116104794583128,0.10680958203092462,1.8992618317658803e-08,1.8992618317658803e-08,4.985034614060795e-05,0.00011129170918690567,0.540532983387474
0.00018424276288734514,0.12210700257319292,1.8662239730506895e-08,1.8662239730506895e-08,7.293640206433214e-05,0.00011128769858328247,0.5349955713663439
0.0002109030279301723,0.13977610936018248,1.8347530560644903e-08,1.8347530560644903e-08,9.960105596174421e-05,0.00011128362443786743,0.5295353334469082
0.0002408366657011733,0.15961464590320834,1.8047430733982822e-08,1.8047430733982822e-08,0.00012953913062445374,0.00011127948764598558,0.5241511940548437
0.00027375455997660786,0.181431000250067,1.7760973613378754e-08,1.7760973613378754e-08,0.00016246150991250854,0.00011127528909048592,0.5188420926068479
0.0003093829531323738,0.20504373936975728,1.7487275924479652e-08,1.7487275924479652e-08,0.00019809443621453124,0.00011127102964191806,0.5136069833016308
0.00034746277148159496,0.23028116201955864,1.7225528957478294e-08,1.7225528957478294e-08,0.00023617883579393734,0.00011126671015870016,0.5084448349138253
0.0003877489774558748,0.25698086940276493,1.697499086014345e-08,1.697499086014345e-08,0.00027646967097772314,0.0001112623314872915,0.503354630590781
0.00042999321258816077,0.28497826179507646,0.0,0.0,0.00031873531818186747,0.00011125789440629327,0.49832573577897443
0.0004740103704873472,0.31415065982379575,0.0,0.0,0.00036275697080362005,0.00011125339968372714,0.49336692765505574
0.0005195768538558097,0.34434987424464275,0.0,0.0,0.0004083280057230963,0.00011124884813271345,0.4884772294350589
0.0005664976784573343,0.37544667913709817,0.0,0.0,0.000455253437902291,0.00011124424055504325,0.48365567794825803
0.0006145890343953142,0.40731925438097816,0.0,0.0,0.0005033494566539797,0.0001112395777413345,0.47890132344744246
0.0006636777790176662,0.4398528495788608,0.0,0.0,0.000552442918546477,0.0001112348604711892,0.4742132294218359
0.0007136009503594636,0.47293946158989625,0.0,0.0,0.000602370860846118,0.0001112300895133456,0.46959047241262336
0.0007642053003450609,0.5064775251592334,0.0,0.0,0.0006529800347192304,0.00011122526562583057,0.4650321418310475
0.0008153468469997159,0.5403716161460004,0.0,0.0,0.0007041264574436082,0.00011122038955610777,0.46053733977904265
0.0008668904449479728,0.5745321668708492,0.0,0.0,0.0007556749829067475,0.00011121546204122525,0.456105180872366
0.000918709373502349,0.6088751931214825,0.0,0.0,0.0008074988896943886,0.00011121048380796044,0.4517347920661958
0.0009706849416712376,0.6433220323714032,0.0,0.0,0.0008594794860982744,0.00011120545557296325,0.4474253124831589
0.0010227061094393915,0.6777990927833256,0.0,0.0,0.0009115057313964952,0.00011120037804289646,0.44317589324375595
0.0010746691246979728,0.7122376125843454,0.0,0.0,0.0009634738727833968,0.00011119525191457584,0.43898569729914894
0.0011264771752238954,0.7465734294150399,0.0,0.0,0.0010152870973487885,0.00011119007787510697,0.43485389926627965
0.0011780400551301732,0.7807467592692328,0.0,0.0,0.0010668551985281534,0.00011118485660201989,0.4307796852652866
0.0012292738452301486,0.8147019846551945,0.0,0.0,0.0011180942564667457,0.00011117958876340297,0.4267622527591869
0.0012801006067789233,0.8483874516225898,0.0,0.0,0.0011689263317608888,0.00011117427501803444,0.42280081039579315
0.0013304480880750092,0.8817552753125438,0.0,0.0,0.0012192791720594977,0.00011116891601551151,0.41889457785183265
0.0013802494434242358,0.9147611537008026,0.0,0.0,0.001269085931027856,0.00011116351239637975,0.4150427856792403
0.0014294429639862645,0.9473641892160969,0.0,0.0,0.0013182848991940082,0.00011115806479225635,0.4112446751535927
0.001477971820041769,0.9795267179275604,0.0,0.0,0.0013668192462158112,0.00011115257382595791,0.4074994981246549
0.0015257838142353531,1.011214146006324,0.0,0.0,0.0014146367741237327,0.00011114704011162035,0.40380651686901026
0.0015728311453657548,1.042394793177331,0.0,0.0,0.0014616896811109339,0.00011114146425482088,0.40016500394474375
0.0016190701823107208,1.0730397428879106,0.0,0.0,0.0015079343354580238,0.00011113584685269702,0.3965742420481511
0.0016644612476892325,1.1031226989297873,0.0,0.0,0.0015533310591951679,0.00011113018849406457,0.39303352387244433
0.0017089684108785041,1.132619848260971,0.0,0.0,0.0015978439211189715,0.00011112448975953271,0.38954215196842656
0.001752559290017398,1.1615097297834012,0.0,0.0,0.0016414405387957785,0.00011111875122161945,0.3860994386071096
0.001795204862641596,1.1897731088412928,0.0,0.0,0.0016840918891967334,0.00011111297344486282,0.38270470564424425
0.0018368792846091006,1.2173928572139001,0.0,0.0,0.0017257721276231668,0.00011110715698593391,0.3793572843867406
0.0018775597169873562,1.2443538383848542,0.0,0.0,0.0017664584145936114,0.00011110130239374487,0.37605651546094854
