,time,preci,pet
2016-01-03 20:00:00,2016-01-03 20:00:00,0.0,0.00011395333333333333
2016-01-03 21:00:00,2016-01-03 21:00:00,0.0,0.00011395333333333333
2016-01-03 22:00:00,2016-01-03 22:00:00,0.0,7.276666666666667e-05
2016-01-03 23:00:00,2016-01-03 23:00:00,0.0,7.276666666666667e-05
2016-01-04 00:00:00,2016-01-04 00:00:00,5.986666666666667e-06,7.276666666666667e-05
2016-01-04 01:00:00,2016-01-04 01:00:00,0.00012059999999999999,2.4760000000000003e-05
2016-01-04 02:00:00,2016-01-04 02:00:00,0.00015826666666666667,2.4760000000000003e-05
2016-01-04 03:00:00,2016-01-04 03:00:00,6.197333333333333e-05,2.4760000000000003e-05
2016-01-04 04:00:00,2016-01-04 04:00:00,5.8e-06,5.94e-06
2016-01-04 05:00:00,2016-01-04 05:00:00,3.829333333333334e-05,5.94e-06
2016-01-04 06:00:00,2016-01-04 06:00:00,3.086666666666667e-06,5.94e-06
2016-01-04 07:00:00,2016-01-04 07:00:00,0.0,5.046666666666666e-06
2016-01-04 08:00:00,2016-01-04 08:00:00,1.6200000000000002e-06,5.046666666666666e-06
2016-01-04 09:00:00,2016-01-04 09:00:00,1.8133333333333333e-06,5.046666666666666e-06
2016-01-04 10:00:00,2016-01-04 10:00:00,0.0002784399999999999,5.5533333333333316e-06
2016-01-04 11:00:00,2016-01-04 11:00:00,0.0003726733333333334,5.5533333333333316e-06
2016-01-04 12:00:00,2016-01-04 12:00:00,0.00022754666666666666,5.5533333333333316e-06
2016-01-04 13:00:00,2016-01-04 13:00:00,0.0002477066666666667,1.9193333333333335e-05
2016-01-04 14:00:00,2016-01-04 14:00:00,0.0006220666666666668,1.9193333333333335e-05
2016-01-04 15:00:00,2016-01-04 15:00:00,0.00045776,1.9193333333333335e-05
2016-01-04 16:00:00,2016-01-04 16:00:00,0.0006957333333333333,2.9006666666666668e-05
2016-01-04 17:00:00,2016-01-04 17:00:00,0.00023104000000000004,2.9006666666666668e-05
2016-01-04 18:00:00,2016-01-04 18:00:00,0.00010796,2.9006666666666668e-05
