Date,Flow,validity
2015-10-06 04:00:00+00:00,6.7,1.0
2015-10-06 05:00:00+00:00,6.7,1.0
2015-10-06 06:00:00+00:00,6.7,1.0
2015-10-06 07:00:00+00:00,6.572500000000001,1.0
2015-10-06 08:00:00+00:00,6.53,1.0
2015-10-06 09:00:00+00:00,6.4875,1.0
2015-10-06 10:00:00+00:00,6.487500000000001,1.0
2015-10-06 11:00:00+00:00,6.4025,1.0
2015-10-06 12:00:00+00:00,6.36,1.0
2015-10-06 13:00:00+00:00,6.36,1.0
2015-10-06 14:00:00+00:00,6.36,1.0
2015-10-06 15:00:00+00:00,6.36,1.0
2015-10-06 16:00:00+00:00,6.36,1.0
2015-10-06 17:00:00+00:00,6.232500000000001,1.0
2015-10-06 18:00:00+00:00,6.36,1.0
2015-10-06 19:00:00+00:00,6.19,1.0
2015-10-06 20:00:00+00:00,6.3175,1.0
2015-10-06 21:00:00+00:00,6.36,1.0
2015-10-06 22:00:00+00:00,6.3175,1.0
2015-10-06 23:00:00+00:00,6.36,1.0
2015-10-07 00:00:00+00:00,6.36,1.0
2015-10-07 01:00:00+00:00,6.36,1.0
2015-10-07 02:00:00+00:00,6.36,1.0
2015-10-07 03:00:00+00:00,6.36,1.0
2015-10-07 04:00:00+00:00,6.36,1.0
2015-10-07 05:00:00+00:00,6.232500000000001,1.0
2015-10-07 06:00:00+00:00,6.19,1.0
2015-10-07 07:00:00+00:00,6.1049999999999995,1.0
2015-10-07 08:00:00+00:00,6.02,1.0
2015-10-07 09:00:00+00:00,6.02,1.0
2015-10-07 10:00:00+00:00,5.8999999999999995,1.0
2015-10-07 11:00:00+00:00,5.86,1.0
2015-10-07 12:00:00+00:00,5.86,1.0
2015-10-07 13:00:00+00:00,5.86,1.0
2015-10-07 14:00:00+00:00,5.86,1.0
2015-10-07 15:00:00+00:00,5.9,1.0
2015-10-07 16:00:00+00:00,6.02,1.0
2015-10-07 17:00:00+00:00,6.02,1.0
2015-10-07 18:00:00+00:00,6.02,1.0
2015-10-07 19:00:00+00:00,5.9799999999999995,1.0
